label,text
ham,"Google: New sign-in on Windows. We noticed a new sign-in to your Google Account on a Windows device. If this was you, you don't need to do anything."
ham,"Your Google verification code is 492812. Don't share this code with anyone."
ham,"Netflix: Reset your password. We received a request to reset your password. If you didn't ask for this, you can ignore this email."
ham,"Amazon.com: Sign-in attempt. Someone attempted to sign-in to your account. Please verify it was you."
ham,"Security Alert: Your password was changed successfully. If you did not make this change, contact support."
ham,"Verify your email address for Instagram. Click the link to confirm your email."
ham,"Your one-time passcode is 992811. This code will expire in 10 minutes."
ham,"GitHub: Please verify your device. A login attempt was made from a new location."
ham,"Microsoft account security info was added. The following security info was added to your Microsoft account."
ham,"Bank of America: Your statement is ready. Log in to view your monthly statement."
ham,"Chase: Fraud protection alert. Did you make a purchase of $500?"
ham,"PayPal: Receipt for your payment to Spotify."
ham,"Apple ID: Your receipt for iCloud+ subscription."
ham,"HR Update: Open enrollment begins next week. Please review the attached guide."
ham,"IT Support: Scheduled maintenance window this Sunday."
ham,"Angel One: OTP for Login - 193803. Use this code to access your account securely."
ham,"Your Angel One verification code is 882911. Valid for 5 minutes."
ham,"OTP for Login - 991823. Please do not share this with anyone."
ham,"Angel One: Alert! New login detected on your account."
ham,"Angel One: Confirmation of your order in Zomato."
ham,"Your one-time password for Angel One is 112233. Use this to complete your trade."
