v1,v2
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune"
spam,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only."
spam,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
ham,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times."
ham,"I HAVE A DATE ON SUNDAY WITH WILL!!"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGGHJJGCBL"
ham,"Oh k...i'm watching here:)"
ham,"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet."
ham,"Fine if that's the way u feel. That's the way its gota b"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+"
ham,"Is that seriously how you spell his name?"
ham,"I‘m going to try for 2 months ha ha only joking"
ham,"So ü pay first lar... Then when is da stock comin..."
ham,"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?"
ham,"Ffffffffff. Alright no way I can meet up with you sooner?"
ham,"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol"
ham,"Lol your always so convincing."
ham,"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?"
ham,"I'm back &amp; we're packing the car now, I'll let you know if there's room"
ham,"Ahhh. Work. I vaguely remember that! What does it feel like? Lol"
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
spam,"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged"
ham,"Yup... Ok i go home look at the timings then i msg ü again... xuhui going to learn on 2nd may too but her lesson is at 8am"
ham,"Oops, I'll let you know when my roommate's done"
ham,"I see the letter B on my car"
ham,"Anything lor... U decide..."
ham,"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!"
ham,"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola"
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"
spam,"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow"
ham,"WHO ARE YOU SEEING?"
ham,"Great! I hope you like your man well endowed. I am."
ham,"No calls..messages..missed calls"
ham,"Didn't you get hep b immunisation in nigeria."
ham,"Fair enough, anything going on?"
spam,"CONGRATULATIONS! You are our lucky winner today. Claim your prize at http://claim-prize.com"
spam,"Verify your account immediately to avoid suspension. Click here to login."
spam,"Your bank account has unusual activity. Please verify now."
spam,"Hot single moms in your area! Click here for chat."
spam,"Buy cheap pills online. Viagra Cialis. No prescription needed."
spam,"You have a new voicemail. Call 999-999-9999 to listen."
spam,"Refund pending. Click the link to accept your payment."
spam,"Your package delivery failed. Schedule redelivery here."
spam,"Urgent: Please review the attached invoice #84392"
spam,"Invest in crypto now! 1000% returns guaranteed."
spam,"Work from home and earn $5000 a week. Sign up now."
spam,"Your computer is infected with a virus. Call support immediately."
spam,"Final Notice: Your car warranty is about to expire."
spam,"You have been selected for a free gift card. Apply now."
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
ham,"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not weak. I'm not weak. I'm not weak."
ham,"What you thinked about me. First time you saw me in class."
ham,"Agramas. I'm afraid that's nothing for me. I'm a good boy now."
spam,"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV"
ham,"Huh y lei..."
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"
spam,"Congrats! 1 year special cinema pass for 2 is yours. Call 09065171142 to claim your prize. Valid 1 day. Exchangeable for cash"
ham,"Hey are you coming to the party tonight?"
ham,"The meeting notes are attached."
ham,"Can we reschedule our call to tomorrow?"
ham,"Happy Birthday! Hope you have a great day."
ham,"Please find the report for Q3."
ham,"Let's grab lunch at 12."
ham,"Did you see the game last night?"
ham,"I'll be there in 5 minutes."
ham,"Project updated. Please review."
ham,"Thanks for your help yesterday."
spam,"Dear user, your access is limited. Resolve here: http://secure-portal-auth.com"
spam,"Security alert: New login from Russia. If this wasn't you, secure your account now."
spam,"Payment declined for Order #9928. Update payment info instantly."
spam,"HR: Please review the updated employee handbook attached."
spam,"IT Support: Password expiry notice. Change it immediately via this portal."
spam,"Undelivered Item: We attempted to deliver your parcel. Arrange redelivery."
spam,"Your subscription to Netflix is expiring. Renew now for a discount."
spam,"Invoice 2024-001 is overdue. Please pay immediately."
spam,"CEO Request: I need you to purchase gift cards for a client. Urgent."
spam,"Your Apple ID has been locked for security reasons."
ham,"IT Support: Scheduled maintenance this weekend. No action required."
ham,"HR: Open enrollment for benefits starts next week."
ham,"Security: Reminding everyone to lock their screens when leaving desks."
ham,"Finance: The invoice #2024-001 has been processed successfully."
ham,"Amazon: Your package has been delivered to your front porch."
ham,"Netflix: We hope you're enjoying your subscription. No action needed."
ham,"Bank: Your monthly statement is ready to view."
ham,"Verification code: 123456 is your code for Two-Factor Authentication."
ham,"Fwd: Urgent - can you take a look at this bug?"
ham,"Reminder: The project deadline is approaching."
spam,"Are you at your desk? I need you to do a task for me discretely. - CEO"
spam,"Can you handle a wire transfer for a vendor today? It's urgent."
spam,"I'm in a meeting and can't talk. Please purchase 5x $100 Apple Gift Cards and email me the codes."
spam,"Change of direct deposit information. Please update my bank details for the next payroll."
spam,"Quick favor: Can you send me your cell number? I need to text you."
spam,"Confidential: We are acquiring a new company. Please print the attached NDA."
spam,"Direct Deposit Update: I have changed my bank. Please process immediately."
spam,"Are you available? I need a copy of the aging report sent to my personal email."
spam,"Urgent wire transfer request for Invoice #9922. process ASAP."
spam,"Do we have any outstanding invoices for Vendor X? Please pay them today."
ham,"Can you handle the vendor meeting today? I'm tied up."
ham,"Are you at your desk? Let's grab coffee."
ham,"Change of plans, let's meet in the conference room."
ham,"Quick favor: Can you review this slide deck?"
ham,"Direct Deposit: I updated my info in the portal successfully."
